ID,Relationship_StartNode_NodeID,Relationship_StartNode_NodeIDType,Relationship_EndNode_NodeID,Relationship_EndNode_NodeIDType,Relationship_RelationshipType,Relationship_RelationshipStatus,Relationship_Period_1_startDate,Relationship_Period_1_endDate,Relationship_Period_1_periodType,Relationship_Period.2.startDate,Relationship_Period.2.endDate,Relationship_Period.2.periodType,Relationship_Period.3.startDate,Relationship_Period.3.endDate,Relationship_Period.3.periodType,Relationship_Qualifiers.1.QualifierDimension,Relationship_Qualifiers.1.QualifierCategory,Relationship_Quantifiers.1.MeasurementMethod,Relationship_Quantifiers.1.QuantifierAmount,Relationship_Quantifiers.1.QuantifierUnits,Registration.InitialRegistrationDate,Registration.LastUpdateDate,Registration.RegistrationStatus,Registration.NextRenewalDate,Registration.ManagingLOU,Registration.ValidationSources,Registration.ValidationDocuments,Registration.ValidationReference
38,029200343C4N7D2E6H83,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-07-12T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2015-02-20T00:00:00+00:00,2024-04-21T10:25:13+00:00,PUBLISHED,2025-05-27T14:05:45+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,ACCOUNTS_FILING,https://www.sec.gov/ix?doc=/Archives/edgar/data/831001/000083100120000031/c-12312019x10k.htm
124,073LKXEKEP6T62NK2G42,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2012-11-28T00:00:00+00:00,2024-04-22T18:24:42+00:00,PUBLISHED,2025-05-27T14:05:43+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,https://www.ffiec.gov/npw/Institution/Profile/1951350?dt=20170701
577,0C45RG70GW42XSBLJ131,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2024-04-27T00:00:00+00:00,,DOCUMENT_FILING_PERIOD,2022-01-01T00:00:00+00:00,2022-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2021-05-27T00:00:00+00:00,,RELATIONSHIP_PERIOD,ACCOUNTING_STANDARD,US_GAAP,,,,2012-06-27T00:00:00+00:00,2024-04-27T14:18:23+00:00,PUBLISHED,2025-05-27T14:17:44+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,REGULATORY_FILING,https://www.ffiec.gov/npw/Institution/Profile/1180244?dt=20220630
974,18B0XXQZGRUMTWTLAN28,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2012-06-06T00:00:00+00:00,2023-05-02T13:40:34+00:00,PUBLISHED,2024-05-27T14:18:14+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
1128,1P0UUG7LC1S92QTNHG39,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-07-12T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2012-06-06T00:00:00+00:00,2024-04-27T15:10:27+00:00,PUBLISHED,2025-05-27T14:17:56+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,SUPPORTING_DOCUMENTS,https://www.sec.gov/ix?doc=/Archives/edgar/data/831001/000083100121000042/c-20201231.htm
90059,2SFFM4FUIE05S37WFU55,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2012-11-28T00:00:00+00:00,2024-04-29T18:16:18+00:00,PUBLISHED,2025-05-27T14:18:10+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,SUPPORTING_DOCUMENTS,https://www.sec.gov/ix?doc=/Archives/edgar/data/831001/000083100121000042/c-20201231.htm
122770,4BVL95XIH9NNZF0YN485,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-07-14T00:00:00+00:00,,RELATIONSHIP_PERIOD,2019-01-01T00:00:00+00:00,2019-12-31T00:00:00+00:00,DOCUMENT_FILING_PERIOD,ACCOUNTING_STANDARD,US_GAAP,,,,2012-06-08T00:00:00+00:00,2024-04-30T08:12:44+00:00,PUBLISHED,2025-05-27T14:18:23+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,ACCOUNTS_FILING,https://www.sec.gov/ix?doc=/Archives/edgar/data/831001/000083100120000031/c-12312019x10k.htm
122913,4R3D61SICEKGODDQF889,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-19T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2012-11-28T00:00:00+00:00,2024-04-24T13:40:06+00:00,PUBLISHED,2025-05-27T14:16:58+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
144229,529900H31AYI6WA1J534,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2000-02-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2023-07-21T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,OTHER_ACCOUNTING_STANDARD,,,,2023-10-18T09:35:02+00:00,2023-10-18T09:35:02+00:00,PUBLISHED,2024-10-23T14:38:05+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,OTHER_OFFICIAL_DOCUMENTS,
166101,549300007KEUR77RX437,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2017-01-01T00:00:00.000Z,2017-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-09-28T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,2016-05-05T01:50:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2018-07-25T20:06:00.000Z,5493001KJTIIGC8Y1R12,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
